HomeTeam,AwayTeam,3DConv,RZPct,YpD,TOPct,PpD,Vegas,Outcome
Las Vegas Raiders,Kansas City Chiefs,2.341,-0.0433,-1.2770,4.7320,-0.0026,-2.5000,-27
San Francisco 49ers,Los Angeles Rams,-9.656,0.0393,-1.9210,-7.9440,-0.5541,-3.5000,21
Atlanta Falcons,New England Patriots,-13.597,-0.0563,-4.6660,-4.8250,-0.7990,-7.0000,-25
Philadelphia Eagles,New Orleans Saints,1.689,-0.0635,2.2260,-3.0780,-0.0618,2.5000,11
New York Jets,Miami Dolphins,-3.098,-0.0029,-0.0880,-6.1600,-0.1708,-3.5000,-7
Carolina Panthers,Washington Football Team,2.651,0.0078,0.1680,-0.9090,0.1351,3.0000,-6
Buffalo Bills,Indianapolis Colts,7.819,0.1373,4.4790,1.5540,0.4952,7.0000,-26
Cleveland Browns,Detroit Lions,9.573,0.0726,5.6440,-1.4860,0.4986,12.5000,3
Jacksonville Jaguars,San Francisco 49ers,-10.536,-0.1164,-4.0320,-1.6680,-0.5125,-6.5000,-20
Tennessee Titans,Houston Texans,14.58,0.0957,4.7540,0.3110,0.8590,10.0000,-9
Minnesota Vikings,Green Bay Packers,-2.809,0.1033,-1.0690,-1.8210,-0.1503,-1.0000,3
Chicago Bears,Baltimore Ravens,-10.395,-0.1478,-4.9170,0.4470,-0.5905,-6.0000,-3
Las Vegas Raiders,Cincinnati Bengals,-0.249,-0.1529,1.9450,1.6290,-0.1962,-1.0000,-19
Seattle Seahawks,Arizona Cardinals,-12.631,0.0516,-7.0380,-5.3100,-0.6587,-1.5000,-10
Kansas City Chiefs,Dallas Cowboys,-3.211,-0.0494,-1.3050,-5.8600,-0.2148,2.5000,10
Los Angeles Chargers,Pittsburgh Steelers,1.523,-0.0313,3.2740,3.4840,0.2746,5.0000,4
Tampa Bay Buccaneers,New York Giants,6.316,0.1305,5.5680,-0.0300,0.6693,10.5000,20
